id,name,code,gradeLevel,latitude,longitude,details
,John Bartram High School,1010,High School,39.9216617,-75.2338847,
,West Philadelphia High School,1020,High School,39.9580893,-75.2194876,
,High School of the Future,1030,High School,39.9750318,-75.2035671,
,Paul Robeson High School for Human Services,1050,High School,39.9569822,-75.2059018,
,William L. Sayre High School,1100,High School,39.957475,-75.238568,
,William T. Tilden School,1130,Middle School,39.921728,-75.232634,
,Motivation High School,1190,High School,39.9445084,-75.2424503,
,John Barry School,1200,Elementary/Middle School,39.9643749,-75.238604,
,William C. Bryant School,1230,Elementary/Middle School,39.9529465,-75.2434277,
,Joseph W. Catharine School,1250,Elementary School,39.9280147,-75.2395019,
,Benjamin B. Comegys School,1260,Elementary/Middle School,39.9405617,-75.2163301,
,Sadie Alexander School,1280,Elementary/Middle School,39.9490401,-75.1811198,
,Andrew Hamilton School,1290,Elementary/Middle School,39.9543053,-75.2640746,
,Avery D. Harrington School,1300,Elementary/Middle School,39.947335,-75.230062,
,Samuel B. Huey School,1330,Elementary/Middle School,39.953327,-75.226859,
,Henry C. Lea School,1340,Elementary/Middle School,39.9545848,-75.2158867,
,William C. Longstreth School,1350,Elementary/Middle School,39.940634,-75.2325639,
,Morton McMichael School,1360,Elementary/Middle School,39.966046,-75.194768,
,S. Weir Mitchell School,1370,Elementary/Middle School,39.9368143,-75.2236126,
,Thomas G. Morton School,1380,Elementary School,39.9238448,-75.2274609,
,Samuel Powel School,1390,Elementary School,39.9603393,-75.1936401,
,John M. Patterson School,1400,Elementary School,39.916323,-75.236929,
,James Rhoads School,1410,Elementary/Middle School,39.9673896,-75.2200957,
,Martha Washington School,1420,Elementary/Middle School,39.9660166,-75.2110142,
,Penrose School,1440,Elementary/Middle School,39.9078325,-75.2477226,
,Add B. Anderson School,1460,Elementary/Middle School,39.9467347,-75.2455992,
,Alain Locke School,1470,Elementary/Middle School,39.9621146,-75.2124045,
,Rudolph Blankenburg School,1490,Elementary/Middle School,39.9730578,-75.213924,
,Middle Years Alternative School,1580,Middle School,39.9646988,-75.2158736,
,South Philadelphia High School,2000,High School,39.9237005,-75.1687789,
,Benjamin Franklin High School,2010,High School,39.9637778,-75.1625551,
,High School for Creative and Performing Arts School,2020,High School,39.939394,-75.165266,
,Julia R. Masterman School,2140,Middle/High School,39.963524,-75.1658022,
,Furness High School,2160,High School,39.9234734,-75.1508151,
,D. Newlin Fell School,2190,Elementary/Middle School,39.9156572,-75.1628745,
,Bache-Martin School,2210,Elementary/Middle School,39.9696032,-75.1738614,
,F. Amedee Bregy School,2240,Elementary/Middle School,39.9145694,-75.1767179,
,George W. Childs School,2260,Elementary/Middle School,39.9346511,-75.1704893,
,Franklin Learning Center,2290,High School,39.9650593,-75.1627975,
,Stephen Girard School,2320,Elementary School,39.9251971,-75.1761389,
,General George A. McCall School,2340,Elementary/Middle School,39.9446439,-75.153179,
,Delaplaine McDaniel School,2370,Elementary/Middle School,39.9295827,-75.1817583,
,William M. Meredith School,2380,Elementary/Middle School,39.9395638,-75.1510549,
,Robert Morris School,2390,Elementary/Middle School,39.9754594,-75.1787982,
,Girard Academic Music Program,2410,Middle/High School,39.9217935,-75.1832671,
,Edwin M. Stanton School,2450,Elementary/Middle School,39.9404918,-75.1712945,
,Albert M. Greenfield School,2470,Elementary/Middle School,39.952272,-75.177392,
,Chester A. Arthur School,2480,Elementary/Middle School,39.9419317,-75.1761496,
,Laura W. Waring School,2490,Elementary/Middle School,39.964919,-75.1677,
,Andrew Jackson School,2510,Elementary/Middle School,39.9345379,-75.1636475,
,Abram S. Jenks School,2520,Elementary School,39.9190872,-75.1686558,
,Francis S. Key School,2540,Elementary School,39.921209,-75.160378,
,Elizabeth B. Kirkbride School,2580,Elementary/Middle School,39.9299863,-75.1561993,
,George W. Nebinger School,2590,Elementary/Middle School,39.9363977,-75.1536269,
,Academy at Palumbo,2620,High School,39.9399626,-75.1611034,
,George W. Sharswood School,2630,Elementary/Middle School,39.918648,-75.1508851,
,Southwark School,2640,Elementary/Middle School,39.9258652,-75.16034,
,Science Leadership Academy,2650,High School,39.9557355,-75.1761326,
,Constitution High School,2670,High School,39.9502533,-75.1524094,
,The Science Leadership Academy at Beeber,2680,High School,39.9864857,-75.2422625,
,John H. Taggart School,2690,Elementary/Middle School,39.9172969,-75.1545411,
,Vare-Washington School,2720,Elementary/Middle School,39.9334523,-75.1526377,
,Community Academy of Philadelphia Charter School ,3301,Elementary/Middle/High School,40.0044849,-75.1066667,
,Harambee Institute of Science and Technology Charter School,3302,Elementary/Middle School,39.9732781,-75.2519642,
,World Communications Charter School,3303,Middle/High School,39.9438639,-75.1659814,
,YouthBuild Philadelphia Charter School,3304,High School,39.972906,-75.158633,
,Christopher Columbus Charter School,3306,Elementary/Middle School,39.9385794,-75.1585754,
,Eugenio Maria De Hostos Charter School,3307,Elementary/Middle School,40.0465707,-75.1233062,
,Belmont Academy Charter School,3308,Elementary School,39.970596,-75.2055749,
,Imhotep Institute Charter High School,3309,High School,40.049239,-75.1546089,
,Laboratory Charter School of Communication and Languages,3310,Elementary/Middle School,39.9639661,-75.1437838,
,Multi-Cultural Academy Charter School,3312,High School,40.0114063,-75.1504244,
,"Preparatory Charter School of Mathematics, Science, Technology and Careers",3313,High School,39.9281737,-75.1864707,
,West Oak Lane Charter School,3314,Elementary/Middle School,40.059427,-75.1636729,
,Alliance For Progress Charter School,3315,Elementary/Middle School,39.979872,-75.165402,
,Charter High School for Architecture and Design Charter,3317,High School,39.948852,-75.151997,
,Freire Charter School,3318,Middle/High School,39.9524459,-75.1744281,
,Imani Education Circle Charter School,3320,Elementary/Middle School,40.0334667,-75.1761796,
,"Math, Civics and Sciences Charter School",3321,Elementary/Middle/High School,39.9612128,-75.1613416,
,Philadelphia Academy Charter School,3322,Elementary/Middle/High School,40.1002547,-75.0085989,
,Hardy Williams Academy Mastery Charter School,3323,Elementary/Middle School,39.9418478,-75.2255159,
,Universal Institute Charter School,3326,Elementary/Middle School,39.9409778,-75.1677972,
,"Mathematics, Science, and Technology Community Charter School (MaST)",3328,Elementary/Middle/High School,40.1138808,-75.0050153,
,Young Scholars Charter School,3329,Middle School,39.967827,-75.14824,
,Franklin Towne Charter High School,3331,High School,40.0018403,-75.0669552,
,Mariana Bracetti Academy Charter School,3332,Middle/High School,40.0056356,-75.094381,
,Nueva Esperanza Academy Charter School,3333,Middle/High School,40.0150602,-75.1332475,
,New Foundations Charter School,3334,Elementary/Middle/High School,40.03489,-75.0244249,
,People for People Charter School,3335,Elementary/Middle School,39.968101,-75.160675,
,Philadelphia Performing Arts Charter School,3336,Elementary/Middle/High School,39.9178897,-75.1715104,
,Global Leadership Academy Charter School,3337,Elementary/Middle School,39.9731765,-75.2155032,
,Wakisha Charter School,3339,Middle School,39.974144,-75.150741,
